NAMES,SMILES,TEMPERATURE,PRESSURE,VALUE
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,5222,1326.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,10134,1331.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,20130,1339.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,29980,1347.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,30060,1347.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,39720,1354.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,40130,1355.1
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,80050,1381.1
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,90040,1386.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,97890,1391
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,110000,1397.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.16,139600,1411
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.17,19920,1339.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.18,939,1323
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.13,19680,1322
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.13,49980,1346.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.14,10099,1313.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.14,10121,1313.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.14,69980,1359.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.14,79940,1366
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.14,90010,1371.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.14,130000,1392.4
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,101,1303.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,1236,1304.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,4998,1308.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,5361,1308.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,30170,1330.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,50030,1346.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,59760,1353
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,99740,1377.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,110000,1382.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,119900,1387.6
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,140000,1396.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.16,1688,1305.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.16,19910,1322.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.16,30010,1330.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.16,39390,1338.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.16,60000,1353.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.17,40200,1338.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.17,70200,1360
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.17,79980,1366
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.17,98840,1376.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.18,90240,1372
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.12,9618,1294.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.13,19940,1304.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.13,60140,1337.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.13,98660,1361.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,1318,1286.4
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,5105,1290.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,19900,1304.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,49970,1330.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,69970,1344.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,80060,1351
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,80440,1351.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,89970,1357
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.14,99720,1362.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,101,1285.1
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,30000,1313.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,39760,1322.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,39950,1322.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,49810,1330.1
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,110000,1368
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,119900,1373
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.15,139900,1382.4
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.16,5148,1290.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.16,29440,1313.4
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.16,59900,1337.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.16,89470,1356.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.17,10147,1295.4
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.17,130000,1377.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.18,2367,1287.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,393.18,70200,1344.6
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.13,39960,1305.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.13,99920,1347.7
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.13,130000,1363
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.14,20000,1287.5
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.14,120000,1358.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,101,1266.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,1025,1267.3
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,10021,1277.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,29950,1297
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,50000,1314.2
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,69900,1329
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,89920,1341.9
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,110000,1353.1
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15,140000,1367.6
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.16,5032,1271.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.16,80000,1335.8
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.17,59920,1321.9
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,100,1246.53
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,2500,1247.5
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,5000,1248.48
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,10000,1250.48
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,15000,1252.42
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,20000,1254.34
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,25000,1256.25
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,30000,1258.11
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,283.15,35000,1259.94
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,100,1244.76
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,2500,1245.74
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,5000,1246.74
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,10000,1248.75
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,15000,1250.71
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,20000,1252.64
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,25000,1254.54
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,30000,1256.42
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,285.65,35000,1258.27
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,100,1243.09
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,2500,1244.04
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,5000,1245.05
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,10000,1247.06
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,15000,1249.03
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,20000,1250.98
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,25000,1252.88
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,30000,1254.8
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,288.15,35000,1256.66
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,100,1241.3
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,2500,1242.29
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,5000,1243.31
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,10000,1245.32
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,15000,1247.3
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,20000,1249.27
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,25000,1251.19
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,30000,1253.1
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,290.65,35000,1254.96
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,100,1239.48
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,2500,1240.49
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,5000,1241.52
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,10000,1243.55
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,15000,1245.56
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,20000,1247.52
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,25000,1249.46
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,30000,1251.37
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,293.15,35000,1253.26
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,100,1237.76
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,2500,1238.77
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,5000,1239.81
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,10000,1241.85
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,15000,1243.86
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,20000,1245.85
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,25000,1247.78
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,30000,1249.71
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,295.65,35000,1251.61
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,100,1236.02
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,2500,1237.02
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,5000,1238.05
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,10000,1240.11
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,15000,1242.13
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,20000,1244.12
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,25000,1246.08
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,30000,1248.02
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,298.15,35000,1249.92
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,100,1234.27
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,2500,1235.31
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,5000,1236.37
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,10000,1238.43
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,15000,1240.46
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,20000,1242.43
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,25000,1244.4
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,30000,1246.35
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,300.65,35000,1248.26
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,100,1232.67
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,2500,1233.68
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,5000,1234.74
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,10000,1236.81
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,15000,1238.86
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,20000,1240.86
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,25000,1242.84
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,30000,1244.8
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,303.15,35000,1246.72
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,100,1230.86
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,2500,1231.93
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,5000,1232.99
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,10000,1235.08
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,15000,1237.13
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,20000,1239.17
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,25000,1241.15
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,30000,1243.12
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,305.65,35000,1245.07
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,100,1229.26
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,2500,1230.31
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,5000,1231.37
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,10000,1233.46
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,15000,1235.54
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,20000,1237.58
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,25000,1239.58
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,30000,1241.57
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,308.15,35000,1243.5
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,100,1227.54
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,2500,1228.61
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,5000,1229.69
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,10000,1231.79
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,15000,1233.87
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,20000,1235.92
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,25000,1237.94
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,30000,1239.93
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,310.65,35000,1241.89
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,100,1225.82
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,2500,1226.9
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,5000,1227.96
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,10000,1230.1
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,15000,1232.2
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,20000,1234.26
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,25000,1236.28
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,30000,1238.28
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,313.15,35000,1240.25
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,100,1224.12
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,2500,1225.21
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,5000,1226.29
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,10000,1228.43
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,15000,1230.54
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,20000,1232.62
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,25000,1234.59
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,30000,1236.66
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,315.65,35000,1238.63
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,100,1222.56
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,2500,1223.64
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,5000,1224.71
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,10000,1226.87
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,15000,1229
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,20000,1231.07
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,25000,1233.13
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,30000,1235.16
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,318.15,35000,1237.14
C0460_A0083,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,320.65,100,1220.86
